time,deHorizontalVib,deVerticalVib,deAxialVib,nde_horizontalVib,nde_verticalVib,nde_axialVib
11:17:03,2.4,1.7,1.1,1.1,1.2,1.3
11:18:04,2.3,1.6,1.1,1,1.1,1.2
11:19:04,1.9,1.6,1,1,1.1,1.2
11:20:05,1.7,1.5,0.9,1.1,1,1.2
11:21:05,1.8,1.6,1,1.2,1.1,1.2
11:22:05,2.1,1.7,1.1,1.2,1.1,1.3
11:23:06,2.3,1.7,1.1,1.2,1.1,1.3
11:24:06,2.4,1.6,1.1,1.1,1.1,1.3
11:25:07,2.3,1.5,1,1,1.1,1.2
11:26:07,2,1.5,1,1,1,1.2
11:27:07,1.7,1.5,0.9,1,1,1.2
11:28:08,1.8,1.5,1,1.1,1,1.2
11:29:08,2,1.6,1.1,1.2,1.1,1.3
11:30:09,2.3,1.7,1.1,1.2,1.1,1.3
11:31:09,2.4,1.6,1.1,1.1,1.1,1.3
11:32:09,2.3,1.6,1.1,1.1,1.1,1.2
11:33:10,2.1,1.5,1,1,1.1,1.2
11:34:10,1.8,1.4,0.9,1,1,1.2
11:35:11,1.7,1.5,1,1.1,1,1.2
11:36:11,1.8,1.5,1,1.2,1.1,1.3
11:37:11,2.1,1.6,1.1,1.2,1.1,1.3
11:38:12,2.3,1.6,1.1,1.2,1.1,1.3
11:39:12,2.4,1.6,1.1,1.1,1.1,1.2
11:40:13,2.3,1.5,1,1,1.1,1.2
11:41:13,2,1.5,1,1,1,1.2
11:42:14,1.7,1.4,1,1,1,1.2
11:43:14,1.7,1.5,1,1.1,1,1.2
11:44:14,1.9,1.6,1.1,1.2,1.1,1.3
11:45:15,2.2,1.6,1.1,1.2,1.1,1.4
11:46:15,2.3,1.6,1.1,1.2,1.1,1.4
11:47:16,2.4,1.6,1.1,1.1,1.1,1.3
11:48:16,2.3,1.5,1.1,1,1.1,1.2
11:49:17,2.1,1.5,1,1,1.1,1.3
11:50:17,1.8,1.4,1,1,1,1.2
11:51:17,1.7,1.5,1,1.1,1,1.2
11:52:18,1.8,1.5,1,1.2,1.1,1.3
11:53:18,2.1,1.6,1.1,1.2,1.1,1.3
11:54:19,2.3,1.7,1.1,1.2,1.1,1.4
11:55:19,2.4,1.6,1.1,1.1,1.2,1.3
11:56:20,2.4,1.6,1.1,1,1.2,1.2
11:57:20,2.2,1.5,1,1,1.1,1.2
11:58:21,2,1.5,1,0.9,1.1,1.3
11:59:21,1.7,1.4,0.9,1,1,1.2
12:00:21,1.7,1.5,1,1.1,1,1.2
12:01:22,1.9,1.6,1.1,1.2,1.1,1.3
12:02:22,2.2,1.7,1.1,1.2,1.1,1.4
12:03:22,2.4,1.7,1.2,1.2,1.2,1.4
12:04:23,2.4,1.6,1.15,1.1,1.2,1.3
12:05:23,2.4,1.6,1.1,1,1.2,1.3
12:06:24,2.2,1.5,1,0.9,1.1,1.2
12:07:24,1.9,1.5,1,1,1.1,1.3
12:08:24,1.6,1.5,0.9,1,1,1.2
12:09:25,1.7,1.5,1,1.1,1,1.2
