time,deHorizontalVib,deVerticalVib,deAxialVib,nde_horizontalVib,nde_verticalVib,nde_axialVib
12:14:22,1.9,1,1.1,0.7,0.9,1.3
12:15:23,1.8,1.2,0.9,0.7,0.9,1.2
12:16:24,1.8,1.5,0.8,0.8,0.8,1.2
12:17:25,1.9,1.5,0.8,0.8,0.9,1.2
12:18:26,1.9,1.6,0.8,0.7,0.9,1.2
12:19:26,1.9,1.6,0.9,0.7,0.8,1.2
12:20:27,1.8,1.6,0.9,0.7,0.9,1.2
12:21:28,1.8,1.6,0.9,0.7,0.8,1.2
12:22:29,1.9,1.6,0.9,0.7,0.8,1.2
12:23:30,1.9,1.6,0.8,0.7,0.9,1.3
12:24:30,1.8,1.6,0.8,0.7,0.9,1.3
12:25:31,1.9,1.7,0.8,0.7,0.9,1.3
12:26:32,1.9,1.7,0.9,0.7,0.9,1.3
12:27:34,1.9,1.6,0.9,0.7,0.9,1.3
12:28:34,2,1.7,0.9,0.7,0.9,1.3
12:29:35,2,1.8,0.9,0.7,0.9,1.3
12:30:36,2,1.8,0.9,0.7,0.9,1.3
12:31:37,2,1.9,0.9,0.7,0.9,1.3
12:32:38,2,1.8,0.8,0.7,0.9,1.3
12:33:39,2,1.9,0.8,0.8,0.9,1.3
12:34:40,2,1.9,0.8,0.8,0.9,1.3
12:35:40,2,2,0.9,0.8,0.9,1.3
12:36:41,2.1,2.1,0.8,0.8,0.9,1.3
12:37:43,2.1,2.1,0.8,0.8,0.9,1.3
12:38:44,2.1,2.2,0.8,0.8,0.9,1.3
12:39:45,2.3,2.1,1,0.8,0.9,1.3
12:40:46,2.4,2.2,1.2,0.8,0.9,1.3
12:41:47,2.4,2.2,1.2,0.8,0.9,1.3
12:42:48,2.6,2.2,1.3,0.8,0.9,1.3
12:43:48,2.7,2.2,1.4,0.8,0.9,1.3
12:44:49,2.9,2.2,1.5,0.8,0.9,1.3
12:45:50,3,2.1,1.6,0.8,0.9,1.3
12:46:51,3,2,1.7,0.8,0.9,1.3
12:47:52,3,2,1.7,0.8,0.9,1.3
12:48:53,3.1,1.9,1.8,0.8,0.9,1.3
12:49:54,3.1,1.9,1.8,0.8,0.9,1.3
12:50:55,3.2,1.9,1.9,0.8,0.9,1.3
12:51:56,3.1,1.9,1.9,0.8,0.9,1.3
12:52:57,3.1,1.8,1.9,0.8,0.9,1.3
12:53:58,3.1,1.8,1.8,0.8,0.9,1.3
12:55:00,3.2,1.8,1.9,0.8,0.9,1.3
12:56:02,3.2,1.8,2,0.8,0.9,1.3
12:57:02,3.2,1.8,2,0.8,0.9,1.3
12:58:03,3.3,1.8,2,0.8,0.9,1.3
12:59:04,2,1.2,2.1,0.8,0.9,1.3
13:00:05,2,1.3,2.2,0.8,0.9,1.3
13:01:06,2,1.3,2.2,0.8,0.9,1.3
13:02:07,2,1.2,2.2,0.8,0.9,1.3
13:03:08,2,1.2,2.3,0.8,0.9,1.3
13:04:09,2,1.2,2.3,0.8,0.9,1.3
13:05:10,1.9,1.2,2.2,0.8,0.9,1.3
13:06:11,1.9,1.3,2.2,0.8,0.9,1.3
13:07:12,2,1.2,2.3,0.8,0.9,1.3
13:08:13,1.9,1.2,2.2,0.8,0.9,1.3
13:09:17,1.9,1.25,8.2,0.8,0.9,1.3
13:10:18,1.9,1.3,14.3,0.8,0.9,1.3
13:11:18,2,1.3,2.3,0.8,0.9,1.3
13:12:20,2,1.3,2.2,0.9,0.9,1.3
13:13:23,1.9,1.3,2.1,0.8,0.9,1.3
13:14:24,1.9,1.2,2,0.8,0.9,1.3
13:15:25,1.9,1.2,2,0.8,0.9,1.3
13:16:26,1.9,1.2,2,0.8,0.9,1.3
13:17:27,1.9,1.2,2,0.8,0.9,1.3
13:18:28,1.9,1.2,2,0.8,0.9,1.3
13:19:30,1.9,1.2,2,0.8,0.9,1.3
13:20:31,1.9,1.2,2,0.8,0.9,1.3
13:21:31,1.9,1.2,2,0.8,0.9,1.3
13:22:33,1.9,1.2,2,0.8,0.9,1.3
13:23:22,1.9,1.2,2,0.8,0.9,1.3
