time,deHorizontalVib,deVerticalVib,deAxialVib,nde_horizontalVib,nde_verticalVib,nde_axialVib
19:29:20,1,2.4,0.9,0.3,0.4,0.2
19:30:21,0.8,2,0.8,0.3,0.4,0.2
19:31:21,0.8,2,1,0.3,0.4,0.2
19:32:21,1,1.4,0.8,0.3,0.4,0.2
19:33:22,1,1.3,0.8,0.3,0.4,0.2
19:34:22,0.9,1.1,0.7,0.3,0.4,0.2
19:35:22,0.7,1.1,0.7,0.3,0.4,0.2
19:36:22,0.6,0.8,0.7,0.3,0.4,0.2
19:37:23,0.6,0.8,0.6,0.3,0.4,0.2
19:38:23,0.6,0.8,0.6,0.3,0.4,0.2
19:39:23,0.7,0.9,0.7,0.3,0.4,0.2
19:40:24,0.7,0.9,0.6,0.3,0.4,0.2
19:41:24,0.8,0.9,0.7,0.3,0.4,0.2
19:42:24,0.6,0.8,0.6,0.3,0.4,0.2
19:43:25,0.8,1,0.7,0.3,0.4,0.2
19:44:25,0.6,0.8,0.6,0.3,0.4,0.2
19:45:25,0.9,1,0.7,0.3,0.4,0.2
19:46:26,0.8,0.9,0.7,0.3,0.4,0.2
19:47:26,0.8,0.9,0.7,0.3,0.4,0.2
19:48:26,0.8,0.9,0.7,0.3,0.4,0.2
19:49:27,0.7,0.8,0.6,0.3,0.4,0.2
19:50:27,0.7,0.8,0.6,0.3,0.4,0.2
19:51:27,0.8,0.9,0.7,0.3,0.4,0.2
19:52:29,0.7,0.9,0.7,0.3,0.4,0.2
19:53:29,0.8,0.9,0.7,0.3,0.4,0.2
19:54:30,0.7,0.8,0.7,0.3,0.4,0.2
19:55:30,0.6,0.7,0.6,0.3,0.4,0.2
19:56:30,0.9,1,0.7,0.3,0.4,0.2
19:57:31,0.8,1,0.7,0.3,0.4,0.2
19:58:31,0.8,1.1,0.7,0.3,0.4,0.2
19:59:31,0.7,1,0.6,0.3,0.4,0.2
20:00:32,0.8,1.1,0.7,0.3,0.4,0.2
20:01:32,0.7,0.9,0.6,0.3,0.4,0.2
20:02:32,0.7,1.4,0.7,0.3,0.4,0.2
20:03:33,0.9,1.5,0.8,0.3,0.4,0.2
20:04:33,0.8,1.7,0.7,0.3,0.4,0.2
20:05:33,0.8,1.7,0.9,0.3,0.4,0.2
20:06:33,0.8,2.1,0.8,0.3,0.4,0.2
20:07:34,0.8,1.9,0.8,0.3,0.4,0.2
20:08:34,0.7,2,0.9,0.3,0.4,0.2
20:09:35,0.9,2.2,1,0.3,0.4,0.2
20:10:35,0.7,1.8,0.8,0.3,0.4,0.2
20:11:35,0.7,1.9,0.8,0.3,0.4,0.2
20:12:36,0.8,1.9,0.8,0.3,0.4,0.2
20:13:36,0.7,1.9,0.7,0.3,0.4,0.2
20:14:37,0.8,1.9,0.9,0.3,0.4,0.2
20:15:37,0.8,1.9,0.9,0.3,0.4,0.2
20:16:37,0.8,1.9,0.9,0.3,0.4,0.2
20:17:38,0.8,1.7,0.9,0.3,0.4,0.2
20:18:38,0.8,1.6,0.9,0.3,0.4,0.2
20:19:38,0.8,1.5,0.9,0.3,0.4,0.2
20:20:38,0.75,1.65,0.9,0.3,0.4,0.2
20:21:39,0.7,1.8,0.9,0.3,0.4,0.2
20:22:40,0.7,1.7,0.8,0.3,0.4,0.2
20:23:39,0.8,1.6,0.8,0.3,0.4,0.2
20:24:40,0.8,1.7,0.8,0.3,0.4,0.2
20:25:40,0.8,1.9,0.8,0.3,0.4,0.2
20:26:40,0.9,2,0.8,0.3,0.4,0.2
20:27:41,0.8,2.2,0.7,0.3,0.4,0.2
20:28:41,0.7,1.6,0.9,0.3,0.4,0.2
20:29:42,1.1,1.9,1.2,0.3,0.4,0.2
20:30:42,1,1.7,0.8,0.3,0.4,0.2
20:32:08,1.4,1.8,1,0.3,0.4,0.2
