time,deHorizontalVib,deVerticalVib,deAxialVib,nde_horizontalVib,nde_verticalVib,nde_axialVib,Mean,,Mean 2,,,,,,,
10:47:56,1.3,1,0.7,1,1,1.1,1,Mean at every 15 mins interval,1.1,,Cycles,0,State 1,State 2,State 3,State 4
10:48:57,1.3,1,0.8,1,1,1.1,1,,0.9,State 1,,State 1,1,0,0,0
10:49:58,1.3,1.1,0.9,1.1,1.2,1.1,1.1,,0.9,State 1,,State 2,0,1,0,0
10:50:58,1.3,1,0.9,1.1,1.1,1,1.1,,0.8,State 1,,State 3,0,0,1,0
10:51:58,1.3,1.1,1,1.2,1.2,1.2,1.2,,0.8,State 1,,State 4,0,0,0,1
10:52:59,1.3,1.1,1,1,1.1,1.1,1.1,,0.8,State 1,,,,,,
10:53:59,1.3,1.1,1.1,1,1,1.1,1.1,,0.8,State 1,,,,,,
10:54:59,1.2,1.1,1.3,1,1.1,1.2,1.2,,0.8,State 1,Cycles,1,State 1,State 2,State 3,State 4
10:56:00,1.2,1.1,1.2,1,1,1.1,1.1,,0.8,State 1,,State 1,1,0,0,0
10:57:00,1.2,1,1,1,1,1.1,1.1,,0.7,State 1,,State 2,0,1,0,0
10:58:01,1.2,1,1.1,0.9,1,1.1,1.1,,0.8,State 1,,State 3,0,0,1,0
10:59:01,1.2,1,1.2,1,1,1,1.1,,0.8,State 1,,State 4,0,0,0,1
11:00:01,1.2,0.9,0.9,0.9,1,1,1,Range of States,,,,,,,,
11:01:02,1.2,0.9,0.9,0.9,1,1,1,State 1,0 -1 mm/sec,,Cycles,2,State 1,State 2,State 3,State 4
11:02:02,1.2,0.9,0.7,0.9,0.9,0.8,0.9,State 2,1.1 -2 mm/sec,,,State 1,1,0,0,0
11:03:02,1.2,0.8,0.6,0.9,0.9,0.8,0.9,State 3,2.1 - 2.8 mm/sec,,,State 2,0,1,0,0
11:04:03,1.2,0.8,0.7,0.9,0.9,0.8,0.9,State 4,above 2.8 mm/sec,,,State 3,0,0,1,0
11:05:03,1.2,0.8,0.8,0.9,0.9,0.8,0.9,,,,,State 4,0,0,0,1
11:06:03,1.2,0.9,0.7,0.9,0.8,0.8,0.9,,,,,,,,,
11:07:04,1.2,0.8,0.7,0.9,0.8,0.8,0.9,,,,,,,,,
11:08:04,1.2,0.8,0.5,0.9,0.9,0.7,0.8,,,,Cycles,3,State 1,State 2,State 3,State 4
11:09:04,1.2,0.9,0.7,0.9,0.8,0.9,0.9,,,,,State 1,1,0,0,0
11:10:05,1.2,0.8,0.6,0.9,0.8,0.8,0.9,,,,,State 2,0,1,0,0
