time,deHorizontalVib,deVerticalVib,deAxialVib,nde_horizontalVib,nde_verticalVib,nde_axialVib
10:49:06,2.5,2.3,1.2,1.1,0.8,1
10:50:06,2.8,2.4,1.1,1.5,0.8,1
10:51:07,2.7,2.7,1.4,1.3,0.8,1.2
10:52:08,2.3,2.6,1.1,1.3,0.8,1.1
10:53:08,1.3,1.3,0.8,0.9,0.7,0.8
10:54:08,0.9,0.9,0.8,0.9,0.7,0.8
10:55:09,0.8,0.8,0.8,0.8,0.7,0.8
10:56:09,0.8,0.8,0.8,0.9,0.7,0.8
10:57:10,0.8,0.8,0.8,0.9,0.7,0.8
10:58:10,0.8,0.8,0.8,0.8,0.7,0.8
10:59:11,0.8,0.8,0.7,0.8,0.7,0.8
11:00:11,0.8,0.8,0.7,0.8,0.7,0.8
11:01:12,0.8,0.8,0.7,0.8,0.6,0.7
11:02:12,0.8,0.8,0.7,0.9,0.6,0.7
11:03:13,0.8,0.8,0.8,0.8,0.6,0.7
11:04:13,0.8,0.7,0.8,0.8,0.6,0.8
11:05:14,0.8,0.7,0.8,0.8,0.6,0.7
11:06:14,0.8,0.8,0.8,0.9,0.6,0.7
11:07:14,0.9,0.8,0.8,0.8,0.6,0.7
11:08:15,0.8,0.8,0.8,0.8,0.6,0.8
11:09:16,0.8,0.8,0.8,0.8,0.6,0.7
11:10:17,0.8,0.8,0.8,0.9,0.6,0.7
11:11:18,0.8,0.8,0.8,0.8,0.6,0.7
11:12:20,0.8,0.8,0.8,0.9,0.6,0.8
11:13:21,0.8,0.8,0.8,0.8,0.6,0.7
11:14:22,0.8,0.7,0.8,0.8,0.6,0.8
11:15:23,0.8,0.7,0.8,0.8,0.6,0.8
11:16:24,0.8,0.7,0.8,0.8,0.6,0.8
11:17:26,0.8,0.7,0.8,0.8,0.6,0.7
11:18:27,0.8,0.8,0.8,0.8,0.6,0.7
11:19:29,0.8,0.7,0.8,0.9,0.6,0.8
11:20:31,0.8,0.7,0.8,0.8,0.6,0.8
11:21:32,0.8,0.8,0.8,0.9,0.6,0.8
11:22:33,0.8,0.8,0.9,0.8,0.6,0.8
11:23:35,0.8,0.7,0.8,0.8,0.6,0.7
11:24:37,0.8,0.7,0.8,0.9,0.6,0.7
11:25:39,0.8,0.7,0.8,0.8,0.6,0.8
11:26:41,0.9,0.7,0.8,0.8,0.6,0.7
11:27:42,0.8,0.7,0.8,0.8,0.6,0.7
11:28:44,0.8,0.7,0.8,0.8,0.6,0.7
11:29:46,0.8,0.8,0.8,0.8,0.6,0.8
11:30:47,0.8,0.7,0.8,0.8,0.6,0.7
11:31:50,0.9,0.7,0.8,0.8,0.6,0.8
11:32:51,0.8,0.7,0.8,0.8,0.6,0.7
11:33:54,0.8,0.7,0.8,0.8,0.6,0.7
11:34:55,0.8,0.7,0.8,0.9,0.6,0.7
11:35:57,0.9,0.7,0.8,0.8,0.6,0.7
11:37:00,0.8,0.7,0.8,0.8,0.6,0.8
