time,drivingEndBearingTemp-I,drivingEndBearingTemp-II,nonDrivingEndBearingTemp-I,nonDrivingEndBearingTemp-II
10:25:25,35,34.5,34,34.9
10:26:26,35.5,34.8,34.3,35.4
10:27:26,35.9,35.2,34.8,35.8
10:28:27,36.3,35.9,35.4,36.3
10:29:27,36.8,36.7,36.2,36.7
10:30:27,37.1,37.6,37.1,37.1
10:31:28,37.4,38.6,38.1,37.5
10:32:28,37.8,39.6,39.1,37.9
10:33:29,37.9,40.7,40.2,38.3
10:34:29,38.7,41.9,41.3,38.7
10:35:30,39.1,43,42.4,39
10:36:30,39.4,44.1,43.5,39.4
10:37:30,39.7,45.1,44.5,39.7
10:38:31,40.1,46.2,45.5,40
10:39:31,40.4,47.2,46.5,40.3
10:40:32,40.7,48.1,47.4,40.6
10:41:32,40.9,49,48.3,40.9
10:42:32,41.2,49.9,49.2,41.2
10:43:33,41.5,50.8,49.9,41.4
10:44:33,41.7,51.6,50.7,41.7
10:45:34,42,52.4,51.5,42
10:46:34,42.2,53.1,52.2,42.2
10:47:35,42.5,53.8,52.9,42.4
10:48:35,42.7,54.5,53.6,42.7
10:49:35,42.9,55.1,54.2,42.9
10:50:36,43.1,55.8,54.8,43.1
10:51:36,43.3,56.3,55.4,43.3
10:52:37,43.5,56.9,55.9,43.4
10:53:37,43.7,57.4,56.4,43.6
10:54:37,43.9,57.9,56.9,43.8
10:55:38,44,58.4,57.4,44
10:56:38,44.2,58.9,57.9,44.2
10:57:39,44.4,59.3,58.3,44.3
10:58:40,44.5,59.7,58.7,44.5
10:59:40,44.7,60.1,59.1,44.7
11:00:40,44.8,60.5,59.5,44.8
11:01:41,45,60.9,59.9,45
11:02:41,45.2,61.3,60.3,45.1
11:03:42,45.3,61.6,60.6,45.3
11:04:42,45.5,61.9,61,45.4
11:05:43,45.6,62.3,61.3,45.5
11:06:43,45.7,62.6,61.6,45.7
11:07:43,45.8,62.9,61.9,45.8
11:08:43,45.9,63.2,62.1,45.9
11:09:44,46.1,63.4,62.4,46
11:10:44,46.2,63.7,62.7,46.1
11:11:45,46.3,64,63,46.2
11:12:45,46.4,64.2,63.2,46.3
11:13:45,46.5,64.5,63.4,46.4
11:14:45,46.6,64.7,63.7,46.5
11:15:46,46.7,64.9,63.9,46.6
11:16:46,46.7,65.1,64.1,46.7
11:17:48,46.8,65.3,64.4,46.8
11:18:50,46.9,65.5,64.6,46.8
11:19:52,47,65.8,64.7,46.9
11:20:54,47.1,66,65,47
11:21:57,47.1,66.1,65.2,47.1
11:22:59,47.2,66.3,65.3,47.2
11:24:02,47.3,66.5,65.5,47.2
11:25:04,47.4,66.7,65.7,47.3
11:26:06,47.4,66.8,65.8,47.4
11:27:09,47.5,67,66,47.4
11:28:11,47.6,67.1,66.1,47.5
11:29:14,47.7,67.2,66.3,47.6
11:30:16,47.7,67.4,66.4,47.6
11:31:19,47.8,67.5,66.5,47.7
11:32:22,47.9,67.6,66.7,47.8
11:33:24,48,67.8,66.8,47.8
11:34:27,48,67.9,67,47.9
11:35:30,48.1,68,67.1,48
11:36:32,48.1,68.2,67.2,48
11:37:35,48.2,68.3,67.3,48.1
11:38:38,48.3,68.4,67.4,48.2
11:39:41,48.3,68.5,67.6,48.2
11:40:44,48.4,68.6,67.7,48.3
11:41:47,48.5,68.7,67.8,48.4
11:42:50,48.5,68.8,67.9,48.4
11:43:53,48.6,68.9,68,48.5
11:44:56,48.6,69,68,48.5
11:45:59,48.7,69.1,68.1,48.6
11:47:02,48.7,69.1,68.2,48.7
11:48:05,48.8,69.2,68.3,48.7
11:49:08,48.9,69.3,68.4,48.8
11:50:11,48.9,69.3,68.5,48.8
11:51:14,49,69.4,68.5,48.9
11:52:17,49,69.5,68.6,48.9
11:53:17,49.1,69.5,68.7,49
11:54:18,49.1,69.6,68.7,49
11:55:18,49.2,69.6,68.8,49.1
11:56:19,49.2,69.7,68.8,49.1
11:57:19,49.2,69.8,68.9,49.1
11:58:20,49.3,69.8,68.9,49.2
11:59:20,49.3,69.9,69,49.2
12:00:21,49.4,69.9,69,49.3
12:01:21,49.4,69.9,69.1,49.3
12:02:22,49.4,70,69.1,49.3
12:03:22,49.5,70,69.2,49.4
12:04:22,49.5,70,69.2,49.4
12:05:23,49.6,70.1,69.2,49.5
12:06:24,49.6,70.1,69.3,49.5
12:07:24,49.7,70.1,69.3,49.6
12:08:25,49.7,70.2,69.3,49.6
12:09:25,49.7,70.2,69.4,49.6
12:10:25,49.7,70.2,69.4,49.7
12:11:26,49.8,70.3,69.4,49.7
12:12:27,49.8,70.3,69.4,49.7
12:13:26,49.8,70.3,69.5,49.8
12:14:27,49.9,70.3,69.5,49.8
12:15:27,49.9,70.3,69.5,49.8
12:16:28,49.9,70.3,69.5,49.8
12:17:28,49.9,70.3,69.5,49.8
12:18:28,50,70.4,69.6,49.9
12:19:29,50,70.4,69.6,49.95
12:20:32,50,70.4,69.6,50
12:21:36,50.1,70.3,69.6,50
12:22:40,50.1,70.3,69.5,50
12:23:44,50.1,70.2,69.5,50
12:24:48,50.2,70.1,69.3,50.1
13:02:04,51.1,58.1,57.6,51
13:03:05,51.1,57.8,57.3,51
13:04:05,51.1,57.5,57,51
13:05:06,51.1,57.2,56.7,51
13:06:06,51.1,56.9,56.4,51
13:07:07,51.1,56.7,56.1,51.1
13:08:08,51.2,56.4,55.9,51.1
13:09:09,51.2,56.1,55.6,51.1
13:09:12,51.2,56.1,55.6,51.1
