time,drivingEndBearingTemp-I,drivingEndBearingTemp-II,nonDrivingEndBearingTemp-I,nonDrivingEndBearingTemp-II
18:24:18,36.2,36.4,36.4,36.4
17:20:46,36.2,36.4,36.1,36.1
17:21:46,36.3,36.5,36.1,36.1
17:22:46,36.5,36.6,36.1,36.2
17:23:47,36.6,36.8,36.2,36.2
17:24:47,36.8,37,36.2,36.2
17:25:48,37,37.2,36.2,36.2
17:26:48,37.2,37.4,36.2,36.2
17:27:48,37.4,37.6,36.2,36.2
17:28:49,37.6,37.8,36.3,36.3
17:29:49,37.8,38.1,36.3,36.3
17:30:49,38.1,38.3,36.3,36.3
17:31:50,38.3,38.5,36.3,36.3
17:32:50,38.5,38.7,36.3,36.3
17:33:50,38.5,38.8,36.3,36.4
17:34:51,39.2,39.2,36.3,36.4
17:35:51,40.4,40.4,36.3,36.4
17:36:51,41.6,41.6,36.3,36.4
17:37:52,42.8,42.8,36.3,36.4
17:38:52,43.4,43.4,36.3,36.4
17:39:53,44.6,44.6,36.4,36.4
17:40:53,45.2,45.2,36.4,36.4
17:41:53,45.9,45.9,36.4,36.4
18:27:03,46.3,46.3,36.4,36.4
18:28:04,46.7,47.2,36.4,36.4
18:29:05,46.8,47.2,36.4,36.4
18:30:06,46.8,47.3,36.4,36.4
18:31:07,46.9,47.3,36.4,36.4
18:32:08,46.9,47.4,36.4,36.4
18:33:09,47,47.4,36.3,36.4
18:34:10,47,47.4,36.3,36.4
18:35:11,47,47.5,36.3,36.4
18:36:12,47.1,47.5,36.3,36.4
18:37:13,47.1,47.6,36.3,36.4
18:38:16,47.2,47.6,36.3,36.4
18:39:17,47.2,47.7,36.3,36.4
18:40:17,47.3,47.7,36.3,36.4
18:41:18,47.3,47.7,36.3,36.3
18:41:58,47.3,47.8,36.3,36.4
18:37:13,47.4,47.8,36.3,36.4
18:38:16,47.4,47.9,36.3,36.4
18:39:17,47.5,47.9,36.3,36.4
18:40:17,47.5,48,36.3,36.4
18:41:18,47.5,48,36.3,36.3
18:41:58,47.6,48.1,36.3,36.3
18:37:13,47.6,48.1,36.3,36.3
18:38:16,47.7,48.1,36.3,36.3
18:39:17,47.7,48.2,36.3,36.3
18:40:17,47.7,48.2,36.3,36.3
18:41:18,47.8,48.3,36.3,36.3
18:41:58,47.8,48.3,36.3,36.3
18:37:13,47.9,48.4,36.3,36.3
18:38:16,47.9,48.4,36.3,36.3
18:39:17,47.9,48.5,36.3,36.3
18:40:17,48,48.5,36.3,36.3
18:41:18,48,48.5,36.3,36.3
18:41:58,48.1,48.6,36.3,36.3
18:37:13,48.1,48.6,36.3,36.3
18:38:16,48.1,48.7,36.3,36.3
18:39:17,48.2,48.7,36.3,36.3
18:40:17,48.2,48.8,36.3,36.3
18:41:18,48.3,48.8,36.3,36.3
18:41:58,48.3,48.9,36.3,36.3
18:37:13,48.3,48.9,36.3,36.3
18:38:16,48.4,48.9,36.3,36.3
18:39:17,48.4,49,36.3,36.3
18:40:17,48.5,49,36.3,36.3
18:41:18,48.5,49.1,36.3,36.2
18:41:58,48.6,49.1,36.3,36.2
18:37:13,48.6,49.2,36.3,36.2
18:38:16,48.6,49.2,36.3,36.2
18:39:17,48.7,49.2,36.3,36.2
18:40:17,48.7,49.3,36.3,36.2
18:41:18,48.8,49.3,36.3,36.2
18:41:58,48.8,49.4,36.3,36.2
18:37:13,48.8,49.4,36.3,36.2
18:38:16,48.9,49.5,36.3,36.2
18:39:17,48.9,49.5,36.3,36.2
18:40:17,49,49.6,36.3,36.2
18:41:18,49,49.6,36.3,36.2
18:41:58,49,49.6,36.3,36.2
18:37:13,49.1,49.7,36.3,36.2
18:38:16,49.1,49.7,36.3,36.2
18:39:17,49.2,49.8,36.3,36.2
18:40:17,49.2,49.8,36.3,36.2
18:41:18,49.2,49.9,36.3,36.2
18:41:58,49.2,49.9,36.3,36.2
18:37:13,49.2,49.9,36.3,36.2
18:38:16,49.2,49.9,36.3,36.2
