time,voltage-I,voltage-II,voltage-III,current-I,current-II,current-III,wattage-I,wattage-II,wattage-III,totalWattage,drivingEndBearingTemp-I,drivingEndBearingTemp-II,nonDrivingEndBearingTemp-I,nonDrivingEndBearingTemp-II,deHorizontalVib,deVerticalVib,deAxialVib,nde_horizontalVib,nde_verticalVib,nde_axialVib,profile_id
10:11:22,3276,3328,3344,42,42,40,4600,3100,2900,10700,36.9,37,38.1,37.4,0.5,0.9,1,0.6,0.5,0.5,1
10:12:23,3285,3332,3344,42,42,40,4900,3000,2800,10700,37,37.1,38.6,37.7,0.5,0.9,1,0.6,0.6,0.5,1
10:13:23,3292,3334,3349,42,42,41,4500,3100,2900,10600,37.2,37.2,39.1,38.2,0.5,0.9,1,0.5,0.6,0.5,1
10:14:24,3284,3325,3341,41,41,40,4400,3300,3000,10600,37.3,37.3,39.7,38.8,0.5,0.9,1,0.6,0.5,0.6,1
10:15:24,3285,3327,3342,42,42,41,4400,3300,2900,10600,37.4,37.5,40.6,39.4,0.5,0.9,1,0.6,0.5,0.5,1
10:16:25,3286,3325,3339,42,42,41,4500,3000,3000,10500,37.6,37.6,41.1,40.1,0.5,0.9,1,0.6,0.6,0.6,1
10:17:25,3287,3328,3340,42,42,40,4800,2800,3000,10600,37.7,37.7,41.9,40.7,0.5,0.9,1,0.5,0.6,0.5,1
10:18:26,3280,3318,3329,41,41,40,4800,2900,2900,10500,37.8,37.9,42.7,41.3,0.5,0.9,1,0.6,0.5,0.5,1
10:19:26,3275,3313,3325,41,41,40,4400,3000,3000,10500,38,38,43.2,41.9,0.5,0.9,1,0.6,0.5,0.5,1
10:20:26,3279,3318,3328,41,42,40,4800,3000,2700,10500,38.1,38.2,43.7,42.4,0.5,0.9,1,0.6,0.6,0.6,1
10:21:27,3275,3317,3327,41,41,40,4600,3100,2800,10500,38.3,38.3,44.3,42.9,0.5,0.9,1,0.5,0.6,0.6,1
10:22:27,3275,3312,3323,41,41,40,4800,2800,2900,10400,38.4,38.4,44.8,43.4,0.5,0.9,1,0.6,0.5,0.6,1
10:23:28,3271,3312,3321,41,42,40,4900,3000,2500,10500,38.6,38.6,45.3,43.9,0.5,0.9,1,0.6,0.5,0.6,1
10:24:28,3272,3312,3321,41,41,40,4900,3000,2600,10400,38.7,38.8,45.5,44.3,0.5,0.9,1,0.6,0.6,0.6,1
10:25:29,3280,3319,3333,41,41,40,4500,3000,2800,10400,38.9,38.9,45.8,44.7,0.5,0.9,1,0.5,0.6,0.6,1
10:26:29,3276,3316,3325,41,41,40,4800,2900,2800,10400,39,39.1,46.3,45.1,0.5,0.9,1,0.6,0.5,0.5,1
10:27:29,3281,3320,3331,42,42,40,4700,2900,2900,10600,39.2,39.2,46.6,45.4,0.5,0.9,1,0.6,0.5,0.5,1
10:28:30,3282,3317,3332,42,41,41,4200,3000,3200,10500,39.3,39.4,47,45.7,0.5,0.9,0.9,0.5,0.6,0.5,1
10:29:30,3280,3318,3330,41,41,40,4500,3100,2900,10500,39.5,39.5,47.3,46,0.5,0.9,1,0.5,0.6,0.5,1
10:30:31,3285,3319,3333,42,42,40,4600,2900,3000,10500,39.7,39.7,47.6,46.3,0.5,0.9,1,0.6,0.5,0.6,1
10:31:31,3288,3325,3339,42,42,41,4400,3300,2900,10600,39.8,39.8,47.9,46.6,0.5,0.9,1,0.6,0.5,0.6,1
10:32:31,3288,3328,3341,42,42,41,4400,3500,2700,10600,40,40,48.2,46.8,0.5,0.9,1,0.6,0.6,0.6,1
10:33:32,3287,3325,3342,41,41,41,4000,3500,2900,10500,40.1,40.1,48.4,47.1,0.5,0.9,1,0.5,0.6,0.5,1
10:34:32,3284,3323,3336,41,42,40,4400,3500,2600,10500,40.3,40.3,48.7,47.3,0.5,0.9,1,0.6,0.5,0.6,1
10:35:33,3287,3323,3340,42,42,41,4000,3400,3100,10500,40.4,40.4,48.9,47.5,0.5,0.9,1,0.6,0.5,0.6,1
10:36:33,3288,3325,3341,42,42,41,4000,3600,3000,10600,40.6,40.6,49.1,47.7,0.5,0.9,1,0.6,0.6,0.6,1
10:37:33,3288,3328,3341,41,41,40,4300,3400,2900,10600,40.7,40.7,49.2,47.9,0.5,0.9,1,0.5,0.6,0.6,1
10:38:34,3294,3331,3345,42,42,41,4200,3600,2800,10600,40.8,40.9,49.4,48,0.5,0.9,1,0.6,0.5,0.6,1
10:39:34,3295,3330,3347,42,42,41,4000,3700,3000,10700,41,41,49.6,48.2,0.5,0.9,1,0.6,0.5,0.6,1
10:40:35,3288,3323,3337,41,42,41,4300,3500,2800,10600,41.2,41.2,49.7,48.3,0.5,0.9,1,0.6,0.6,0.6,1
10:41:35,3290,3323,3337,41,41,40,4200,3300,3000,10500,41.4,41.4,49.8,48.5,0.5,0.9,1,0.5,0.6,0.6,1
10:42:35,3289,3322,3335,42,42,41,4300,3300,2900,10500,41.6,41.6,50,48.6,0.5,0.9,1,0.6,0.5,0.6,1
10:43:36,3292,3327,3332,42,42,41,4200,3100,3100,10500,41.8,41.9,50.1,48.7,0.5,0.9,1,0.6,0.5,0.6,1
10:44:36,3294,3328,3333,42,41,40,4500,3000,3300,10800,42.1,42.1,50.2,48.8,0.5,0.9,1,0.5,0.6,0.6,1
10:45:37,3295,3332,3335,42,41,41,4400,3200,3200,10800,42.3,42.4,50.4,49,0.5,0.9,1,0.5,0.6,0.6,1
10:46:37,3295,3330,3333,42,42,41,4500,3000,3300,10800,42.6,42.7,50.5,49.1,0.5,0.9,1,0.6,0.5,0.6,1
10:47:38,3291,3326,3328,42,42,41,4700,3100,3000,10800,43,43.1,50.6,49.2,0.5,0.9,1,0.6,0.5,0.6,1
10:48:38,3289,3323,3326,41,41,40,4700,3000,3000,10700,43.5,43.5,50.6,49.3,0.5,0.9,1,0.5,0.6,0.6,1
10:49:38,3287,3323,3325,41,41,40,4400,3400,3000,10800,43.9,43.9,50.6,49.3,0.5,1,1,0.6,0.5,0.6,1
10:50:39,3289,3322,3326,42,42,41,4500,3100,3300,10900,44.3,44.4,50.7,49.4,0.5,0.9,1,0.6,0.5,0.5,1
10:51:39,3287,3320,3324,42,41,40,4600,3100,3100,10800,44.8,44.8,50.6,49.4,0.5,1,1,0.6,0.6,0.5,1
10:52:39,3287,3321,3325,41,41,40,4500,3000,3200,10700,45.3,45.3,50.6,49.5,0.5,1,1,0.5,0.6,0.6,1
10:53:40,3287,3321,3324,41,41,40,4550,2900,3200,10600,45.7,45.7,50.7,49.5,0.5,1,1.1,0.6,0.5,0.6,1
10:54:40,3287,3322,3324,42,42,41,4600,2800,3200,10500,46.1,46.1,50.7,49.6,0.6,1,1.1,0.7,0.5,0.6,1
10:55:41,3286,3319,3322,41,41,40,4500,2900,3300,10700,46.4,46.5,50.8,49.6,0.5,0.9,1.1,0.6,0.5,0.6,1
