time,drivingEndBearingTemp-I,drivingEndBearingTemp-II,nonDrivingEndBearingTemp-I,nonDrivingEndBearingTemp-II
13:38:55,41.4,41.4,40.8,39
13:39:56,41.3,41.3,40.7,39
13:40:57,41.2,41.2,40.8,39.1
13:41:51,41.2,41.2,40.8,39.1
13:49:33,42.4,42.4,41.7,40
13:50:34,43.2,43.2,41.8,40.2
13:51:36,44.3,44.2,41.9,40.3
13:52:36,45.4,45.3,42,40.4
13:53:37,46.5,46.5,42.1,40.4
13:54:38,47.7,47.7,42.2,40.5
13:55:39,48.9,48.9,42.3,40.6
13:56:40,50,50,42.4,40.7
13:57:41,51.2,51.1,42.5,40.8
13:58:42,52.2,52.1,42.6,40.9
13:59:43,53.1,53.1,42.7,41
14:00:44,54,54,42.8,41.1
14:01:44,54.9,54.8,42.9,41.2
14:02:45,55.7,55.6,43,41.3
14:03:46,56.3,56.3,43.1,41.4
14:04:47,57,57,43.2,41.5
14:05:48,57.6,57.6,43.2,41.6
14:06:50,58.2,58.2,43.3,41.7
14:07:51,58.7,58.7,43.4,41.7
14:08:52,59.1,59.1,43.5,41.8
14:09:53,59.5,59.4,43.6,41.9
14:10:54,59.7,59.6,43.7,42
14:11:54,59.7,59.7,43.8,42.1
14:12:55,59.7,59.7,43.8,42.1
14:13:56,59.5,59.5,43.9,42.2
14:14:57,59.3,59.3,44,42.3
14:15:58,59.1,59.1,44,42.3
14:17:00,58.9,58.9,44.1,42.4
14:18:02,58.6,58.6,44.2,42.5
14:19:03,58.4,58.4,44.2,42.5
14:20:04,58.1,58.1,44.3,42.6
14:21:05,57.8,57.8,44.4,42.7
14:22:07,57.5,57.5,44.4,42.7
14:23:09,57.2,57.2,44.5,42.8
14:24:11,56.8,56.8,44.5,42.8
14:25:12,56.5,56.5,44.6,42.9
14:26:14,56.1,56.1,44.6,42.9
14:27:16,55.8,55.8,44.7,43
14:28:16,55.4,55.4,44.7,43
14:29:18,55,55,44.8,43.1
14:30:18,54.6,54.6,44.8,43.2
14:31:20,54.3,54.3,44.9,43.2
14:32:21,53.9,53.9,44.9,43.3
14:33:22,53.6,53.6,45,43.3
14:34:22,53.2,53.2,45,43.3
14:35:23,52.8,52.8,45,43.3
14:36:24,52.5,52.5,45,43.4
14:37:25,52.1,52.1,45,43.4
14:38:29,51.8,51.8,45.1,43.4
14:39:31,51.5,51.5,45.1,43.4
14:40:31,51.1,51.1,45.1,43.4
14:41:32,50.8,50.8,45.1,43.4
14:42:33,50.5,50.5,45.1,43.4
14:43:34,50.2,50.2,45.1,43.4
14:44:35,49.9,49.9,45.1,43.4
14:45:36,49.7,49.7,45.1,43.4
14:46:37,49.4,49.4,45.1,43.4
14:47:38,49.2,49.2,45.1,43.4
14:48:38,48.9,48.9,45.1,43.5
14:49:40,48.7,48.7,45.2,43.5
14:50:41,48.5,48.5,45.2,43.5
14:51:42,48.3,48.3,45.2,43.5
14:52:43,48.1,48.1,45.2,43.5
14:53:44,47.9,47.9,45.2,43.5
14:54:45,47.7,47.7,45.2,43.5
14:55:46,47.6,47.6,45.2,43.5
14:56:46,47.4,47.4,45.2,43.5
14:57:47,47.2,47.2,45.2,43.5
14:58:48,47.1,47.1,45.2,43.5
14:59:49,46.9,46.9,45.2,43.5
15:00:51,46.7,46.7,45.2,43.5
15:01:55,46.6,46.6,45.2,43.5
15:02:59,46.4,46.4,45.2,43.5
15:04:02,46.3,46.3,45.2,43.5
15:05:06,46.2,46.2,45.2,43.5
15:06:07,46.1,46,45.2,43.5
15:02:59,45.96,45.88,45.2,43.5
15:04:02,45.84,45.74,45.2,43.5
15:05:06,45.72,45.6,45.2,43.5
15:06:07,45.6,45.46,45.2,43.5
15:02:59,45.6,45.46,45.2,43.5
15:04:02,45.6,45.46,45.2,43.5
15:05:06,45.6,45.46,45.2,43.5
15:06:07,45.6,45.46,45.2,43.5
15:02:59,45.6,45.46,45.2,43.5
