time,drivingEndBearingTemp-I,drivingEndBearingTemp-II,nonDrivingEndBearingTemp-I,nonDrivingEndBearingTemp-II
12:14:22,41.9,41.8,39,38.4
12:15:23,43.2,43,39.4,38.7
12:16:24,44.3,44.2,39.6,39
12:17:25,45.4,45.3,39.8,39.2
12:18:26,46.4,46.3,39.9,39.5
12:19:26,47.3,47.2,40.1,39.8
12:20:27,48.1,48,40.5,40.1
12:21:28,48.9,48.8,40.7,40.4
12:22:29,49.7,49.6,40.9,40.7
12:23:30,50.4,50.3,41.2,40.9
12:24:30,51,50.9,41.4,41.1
12:25:31,51.6,51.5,41.6,41.4
12:26:32,52.2,52.1,41.8,41.6
12:27:34,52.7,52.6,42.1,41.9
12:28:34,53.2,53.1,42.3,42.1
12:29:35,53.7,53.6,42.5,42.4
12:30:36,54.1,54,42.7,42.6
12:31:37,54.5,54.4,42.9,42.8
12:32:38,54.9,54.8,43.1,43
12:33:39,55.3,55.2,43.3,43.2
12:34:40,55.6,55.5,43.4,43.3
12:35:40,55.9,55.8,43.6,43.4
12:36:41,56.2,56.1,43.7,43.6
12:37:43,56.5,56.4,43.9,43.7
12:38:44,56.7,56.6,44,43.9
12:39:45,57,56.8,44.2,44
12:40:46,57.2,57.1,44.3,44.2
12:41:47,57.4,57.3,44.4,44.2
12:42:48,57.6,57.5,44.4,44.3
12:43:48,57.7,57.6,44.5,44.4
12:44:49,57.9,57.8,44.6,44.4
12:45:50,58,57.9,44.7,44.5
12:46:51,58.1,58,44.7,44.5
12:47:52,58.1,58.1,44.7,44.6
12:48:53,58.2,58.1,44.8,44.6
12:49:54,58.3,58.1,44.8,44.6
12:50:55,58.3,58.2,44.8,44.6
12:51:56,58.4,58.3,44.8,44.6
12:52:57,58.4,58.3,44.9,44.7
12:53:58,58.5,58.4,45,44.8
12:55:00,58.5,58.4,45,44.9
12:56:02,58.6,58.4,45.1,44.9
12:57:02,58.6,58.4,45.2,45
12:58:03,58.5,58.4,45.2,45
12:59:04,58.5,58.4,45.2,45
13:00:05,58.6,58.4,45.2,45
13:01:06,58.6,58.4,45.1,45
13:02:07,58.5,58.4,45.1,44.9
13:03:08,58.5,58.4,45,44.9
13:04:09,58.4,58.3,44.9,44.8
13:05:10,58.3,58.2,44.9,44.7
13:06:11,58.3,58.2,44.8,44.7
13:07:12,58.2,58.1,44.8,44.6
13:08:13,58.1,58,44.75,44.6
13:09:17,58,57.9,44.7,44.6
13:10:18,57.8,57.7,44.7,44.6
13:11:18,57.6,57.5,44.7,44.5
13:12:20,57.4,57.3,44.6,44.5
13:13:23,57.1,57,44.6,44.5
13:14:24,56.9,56.8,44.6,44.5
13:15:25,56.8,56.7,44.6,44.5
13:16:26,56.6,56.5,44.6,44.4
13:17:27,56.2,56.1,44.6,44.4
13:18:28,55.8,55.7,44.6,44.4
13:19:30,55.4,55.3,44.6,44.4
13:20:31,55.1,55,44.6,44.4
13:21:31,54.7,54.6,44.6,44.4
13:22:33,54.4,54.3,44.5,44.4
13:23:22,53.9,53.8,44.5,44.4
