time,drivingEndBearingTemp-I,drivingEndBearingTemp-II,nonDrivingEndBearingTemp-I,nonDrivingEndBearingTemp-II
16:19:28,40.4,40.5,40.6,40.6
16:20:31,41,41.2,41.2,41.1
16:27:36,47.8,48,44.1,44.1
16:28:36,48.7,48.9,44.4,44.4
16:29:37,49.6,49.8,44.7,44.7
16:30:37,50.4,50.6,45,45
16:31:37,51.1,51.2,45.2,45.3
16:32:38,51.7,51.8,45.5,45.5
16:33:38,52.2,52.3,45.7,45.7
16:34:39,52.6,52.8,45.9,45.9
16:35:39,53.1,53.2,46.1,46.1
16:36:39,53.5,53.7,46.3,46.3
16:37:40,53.9,54,46.5,46.5
16:38:40,54.2,54.3,46.6,46.6
16:39:40,54.4,54.6,46.8,46.8
16:40:41,54.6,54.7,46.9,47
16:41:41,54.7,54.9,47.1,47.1
16:42:42,54.8,55,47.2,47.2
16:43:42,54.9,55.1,47.3,47.3
16:44:43,55,55.2,47.4,47.4
16:45:43,55.1,55.3,47.5,47.5
16:46:43,55.2,55.4,47.6,47.7
16:47:44,55.3,55.4,47.7,47.8
16:48:44,55.3,55.5,47.8,47.9
16:49:45,55.4,55.5,47.9,48
16:50:45,55.3,55.5,48,48.1
16:51:46,55.3,55.4,48.1,48.2
16:52:46,55.1,55.2,48.2,48.3
16:53:46,54.9,55,48.3,48.4
16:54:47,54.6,54.8,48.4,48.5
16:55:47,54.3,54.5,48.5,48.5
16:56:48,54,54.2,48.5,48.6
16:57:48,53.8,53.9,48.6,48.6
16:58:49,53.5,53.7,48.6,48.7
16:59:49,53.3,53.3,48.7,48.7
17:00:49,53,53,48.7,48.7
17:01:50,52.7,52.7,48.8,48.8
17:02:50,52.4,52.4,48.8,48.8
17:03:51,52.1,52.1,48.9,48.9
17:04:51,51.8,51.8,48.9,48.9
17:05:52,51.5,51.5,49,49
17:06:52,51.3,51.3,49,49
17:07:53,50.9,50.9,49.1,49.1
17:08:49,50.6,50.6,49.1,49.1
