time,drivingEndBearingTemp-I,drivingEndBearingTemp-II,nonDrivingEndBearingTemp-I,nonDrivingEndBearingTemp-II
11:26:41,37.8,37.9,37,36.7
11:27:42,38.1,38.2,37.2,37
11:28:43,38.3,38.4,37.5,37.2
11:29:43,38.5,38.7,37.7,37.5
11:30:44,38.8,38.9,37.9,37.7
11:31:45,39,39.1,38.2,37.9
11:32:45,39.2,39.4,38.4,38.2
11:33:46,39.4,39.6,38.6,38.4
11:34:46,39.6,39.7,38.9,38.6
11:35:47,39.7,39.9,39.1,38.8
11:36:48,39.9,40.1,39.3,39
11:37:48,40.1,40.3,39.5,39.2
11:38:49,40.2,40.4,39.6,39.4
11:39:50,40.3,40.5,39.8,39.6
11:40:50,40.5,40.7,40,39.8
11:41:51,40.6,40.8,40.2,40
11:42:52,40.8,41,40.4,40.2
11:43:52,40.9,41.1,40.6,40.3
11:44:53,41,41.3,40.7,40.5
11:45:54,41.2,41.4,40.9,40.7
11:46:54,41.3,41.5,41,40.8
11:47:55,41.4,41.6,41.2,41
11:48:56,41.5,41.8,41.3,41.1
11:49:56,41.7,41.9,41.5,41.2
11:50:57,41.8,42,41.6,41.4
11:51:58,42.1,42.4,42,41.8
11:52:58,42.3,42.6,42.2,42
11:45:54,42.5,42.7,42.4,42.2
11:46:54,42.6,42.9,42.6,42.4
11:47:55,42.8,43.1,42.8,42.6
11:48:56,42.9,43.2,43,42.8
11:49:56,43.1,43.4,43.2,43
11:50:57,43.3,43.6,43.4,43.2
11:51:58,43.4,43.7,43.6,43.4
11:52:58,43.6,43.9,43.8,43.6
11:45:54,43.7,44.1,44,43.8
11:46:54,43.9,44.2,44.1,44
11:47:55,44.1,44.4,44.3,44.1
11:48:56,44.2,44.6,44.5,44.3
11:49:56,44.4,44.7,44.7,44.5
11:50:57,44.6,44.9,44.9,44.7
11:51:58,44.7,45,45.1,44.9
11:52:58,44.9,45.2,45.3,45.1
11:45:54,45,45.4,45.5,45.3
11:46:54,45.2,45.5,45.7,45.5
11:47:55,45.4,45.7,45.9,45.7
11:48:56,45.5,45.9,46.1,45.9
11:49:56,45.7,46,46.3,46.1
11:50:57,45.8,46.2,46.5,46.3
11:51:58,46,46.4,46.7,46.5
11:52:58,46.2,46.5,46.8,46.7
11:45:54,46.3,46.7,47,46.9
11:46:54,46.5,46.9,47.2,47.1
11:47:55,46.6,47,47.4,47.3
11:48:56,46.8,47.2,47.6,47.5
11:49:56,47,47.4,47.8,47.6
11:50:57,47.1,47.5,48,47.8
11:51:58,47.3,47.7,48.2,48
11:52:58,47.4,47.9,48.4,48.2
11:45:54,47.6,48,48.6,48.4
11:46:54,47.8,48.2,48.8,48.6
11:47:55,47.9,48.4,49,48.8
11:48:56,48.1,48.5,49.2,49
11:49:56,48.2,48.7,49.4,49.2
11:50:57,48.4,48.9,49.5,49.4
11:51:58,48.6,49,49.7,49.6
11:52:58,48.7,49.2,49.9,49.8
11:45:54,48.9,49.3,50.1,50
11:46:54,49,49.5,50.3,50.2
11:47:55,49.2,49.7,50.5,50.4
11:48:56,49.4,49.8,50.7,50.6
11:49:56,49.5,50,50.9,50.8
11:50:57,49.7,50.2,51.1,51
11:51:58,49.8,50.3,51.3,51.2
11:52:58,50,50.5,51.5,51.3
11:45:54,50.2,50.7,51.7,51.5
11:46:54,50.3,50.8,51.9,51.7
11:47:55,50.5,51,52,51.9
11:48:56,50.6,51.2,52.2,52.1
11:49:56,50.8,51.3,52.4,52.3
11:50:57,51,51.5,52.6,52.5
11:51:58,51.1,51.7,52.8,52.7
11:52:58,51.3,51.8,53,52.9
11:45:54,51.4,52,53.2,53.1
11:46:54,51.6,52.2,53.4,53.3
11:47:55,51.6,52.2,53.4,53.3
11:48:56,51.6,52.2,53.4,53.3
11:49:56,51.6,52.2,53.4,53.3
11:50:57,51.6,52.2,53.4,53.3
