time,drivingEndBearingTemp-I,drivingEndBearingTemp-II,nonDrivingEndBearingTemp-I,nonDrivingEndBearingTemp-II
12:16:42,44.4,43,43,44.4
12:16:45,44.5,43,43.1,44.4
12:16:53,44.5,43,43.1,44.4
12:16:55,44.5,43,43.1,44.5
12:16:57,44.5,43,43.1,44.5
12:17:14,44.6,43.1,43.2,44.6
12:18:15,44.8,43.4,43.5,44.8
12:19:15,45,43.7,43.8,45.1
12:20:16,45.3,44,44.1,45.3
12:21:16,45.5,44.2,44.3,45.5
12:22:16,45.7,44.5,44.5,45.7
12:23:17,45.9,44.8,44.8,45.8
12:24:17,46,45,45.1,46
12:25:18,46.2,45.3,45.4,46.1
12:26:18,46.3,45.6,45.7,46.3
12:27:18,46.4,45.9,46,46.4
12:28:19,46.5,46.2,46.2,46.5
12:29:19,46.6,46.4,46.5,46.6
12:30:20,46.7,46.7,46.8,46.7
12:31:20,46.8,47,47.1,46.7
12:32:20,46.8,47.2,47.3,46.8
12:33:21,46.9,47.4,47.5,46.8
12:34:20,46.9,47.6,47.7,46.9
12:35:21,47,47.7,47.8,46.9
12:36:21,47.1,47.9,48,47
12:37:23,47.1,48.1,48.2,47.1
12:41:29,47.3,48.6,48.7,47.2
12:42:30,47.3,48.7,48.8,47.2
12:43:32,47.3,48.9,48.9,47.3
12:44:33,47.3,48.9,48.9,47.3
12:45:36,47.3,48.9,48.9,47.3
12:46:37,47.4,49.1,49.2,47.3
12:47:40,47.4,49.3,49.4,47.3
12:48:41,47.4,49.4,49.5,47.4
12:49:43,47.5,49.4,49.5,47.4
12:50:45,47.5,49.5,49.6,47.4
12:51:47,47.5,49.5,49.6,47.5
12:52:47,47.5,49.6,49.7,47.5
12:53:48,47.6,49.6,49.7,47.5
12:54:48,47.6,49.7,49.8,47.6
12:55:49,47.6,49.7,49.8,47.6
12:56:49,47.6,49.8,49.8,47.6
12:57:49,47.7,49.8,49.8,47.6
12:58:50,47.7,49.8,49.9,47.6
12:59:50,47.7,49.8,49.9,47.7
13:00:51,47.7,49.9,49.9,47.7
13:01:51,47.8,49.8,49.9,47.7
13:02:52,47.8,49.9,49.9,47.7
13:03:52,47.8,49.9,49.9,47.7
13:04:53,47.8,49.9,49.9,47.7
13:05:53,47.7,49.9,50,47.7
13:06:53,47.7,50,50,47.7
13:07:54,47.8,50,50.1,47.7
13:08:54,47.8,50.1,50.1,47.7
13:09:55,47.8,50.1,50.2,47.8
13:10:55,47.8,50.2,50.2,47.8
13:11:55,47.8,50.2,50.2,47.8
13:12:56,47.8,50.2,50.2,47.8
13:13:56,47.8,50.2,50.3,47.8
13:14:58,47.8,50.2,50.3,47.7
13:16:01,47.8,50.2,50.3,47.8
13:17:03,47.8,50.2,50.2,47.8
13:18:06,47.8,50.2,50.2,47.7
13:19:09,47.8,50.2,50.2,47.7
13:21:12,47.8,50.1,50.1,47.7
13:22:13,47.8,50.1,50.1,47.7
13:23:13,47.8,50,50.1,47.7
13:24:14,47.8,50,50,47.7
13:25:14,47.8,50,50,47.7
13:26:14,47.8,49.9,49.9,47.7
13:27:15,47.8,49.9,49.9,47.7
13:28:15,47.7,49.8,49.8,47.7
13:29:16,47.7,49.8,49.8,47.7
13:30:16,47.7,49.7,49.7,47.7
13:31:16,47.7,49.7,49.7,47.7
13:32:17,47.7,49.6,49.7,47.7
13:33:17,47.7,49.6,49.6,47.7
13:34:18,47.7,49.6,49.6,47.7
13:35:18,47.7,49.5,49.6,47.7
13:36:18,47.7,49.5,49.5,47.7
13:37:19,47.7,49.5,49.5,47.7
13:38:19,47.8,49.5,49.5,47.7
13:39:20,47.8,49.5,49.6,47.7
13:40:20,47.8,49.6,49.6,47.7
13:41:21,47.7,49.6,49.7,47.7
13:42:21,47.8,49.7,49.7,47.7
13:43:22,47.8,49.7,49.8,47.7
13:44:22,47.8,49.8,49.8,47.7
13:45:23,47.8,49.9,49.9,47.7
13:46:23,47.8,49.9,49.9,47.7
13:47:24,47.8,49.9,50,47.7
13:48:24,47.8,50,50,47.8
13:49:25,47.8,50,50,47.8
13:50:25,47.9,50.1,50.1,47.9
13:51:26,47.9,50.1,50.1,47.9
13:52:26,48,50.1,50.1,47.9
13:53:27,48,50.1,50.2,48
13:54:20,48,50.1,50.2,48
