time,Sl no,drivingEndBearingTemp-I,drivingEndBearingTemp-II,nonDrivingEndBearingTemp-I,nonDrivingEndBearingTemp-II
10:56:35,1,35.7,35.9,36.3,36.3
10:57:35,2,35.8,36,36.4,36.3
10:58:36,3,36,36.2,36.4,36.4
10:59:36,4,36.1,36.3,36.5,36.4
11:00:37,5,36.3,36.5,36.6,36.5
11:01:37,6,36.5,36.7,36.6,36.6
11:02:38,7,36.8,37,36.7,36.6
11:03:38,8,37,37.2,36.8,36.7
11:04:39,9,37.2,37.4,36.8,36.7
11:05:39,10,37.5,37.7,36.9,36.8
11:06:41,11,37.75,37.95,36.95,36.9
11:07:42,12,38,38.2,37,37
11:08:42,13,38.3,38.5,37.1,37.1
11:09:43,14,38.6,38.8,37.2,37.1
11:10:43,15,38.85,39.05,37.25,37.2
11:11:45,16,39.1,39.3,37.3,37.3
11:12:46,17,39.4,39.6,37.4,37.4
11:13:47,18,39.7,39.8,37.5,37.4
11:14:49,19,40,40,37.6,37.46666667
11:15:50,20,40.3,40.2,37.7,37.51666667
11:16:51,21,40.6,40.4,37.8,37.56666667
11:17:53,22,40.9,40.6,37.9,37.61666667
11:18:55,23,41.2,40.8,38,37.66666667
11:19:57,24,41.2,41.4,38,37.9
11:20:58,25,41.5,41.7,38.1,38
11:21:59,26,41.75,41.9,38.15,38.1
11:23:00,27,42,42.1,38.2,38.2
11:24:01,28,42.2,42.4,38.3,38.2
11:25:02,29,42.5,42.6,38.4,38.3
11:26:04,30,42.7,42.9,38.5,38.4
11:27:05,31,42.95,43.15,38.55,38.45
11:28:06,32,43.2,43.4,38.6,38.5
11:29:08,33,43.7,43.4,38.6,38.5
11:30:09,34,44.2,43.4,38.6,38.5
11:31:10,35,44.15,43.85,38.75,38.65
11:32:11,36,44.1,44.3,38.9,38.8
11:33:12,37,44.4,44.5,39,38.9
11:34:15,38,44.7,44.7,39.1,39
11:35:16,39,45,44.9,39.2,39.1
11:36:18,40,45.3,45.1,39.3,39.2
11:37:18,41,45.3,45.4,39.2,39.2
11:38:19,42,45.3,45.7,39.1,39.2
11:39:21,43,45.7,45.8,39.3,39.3
11:40:22,44,45.9,46.1,39.4,39.4
11:41:23,45,46.1,46.3,39.5,39.4
11:42:24,46,46.3,46.5,39.5,39.5
11:43:25,47,46.5,46.7,39.6,39.5
11:44:27,48,46.7,46.9,39.7,39.5
11:45:30,49,46.9,47.1,39.7,39.7
11:46:31,50,47.1,47.3,39.8,39.7
11:47:32,51,47.3,47.5,39.9,39.8
11:48:33,52,47.5,47.7,40,39.9
11:49:34,53,47.7,47.8,40,39.9
11:50:35,54,47.8,48,40,40
11:51:37,55,48,48.2,40.1,40.1
11:52:38,56,48.2,48.4,40.1,40.1
