time,drivingEndBearingTemp-I,drivingEndBearingTemp-II,nonDrivingEndBearingTemp-I,nonDrivingEndBearingTemp-II
10:47:56,35.9,36.2,35.7,34.1
10:48:57,36.5,36.9,36.2,34.6
10:49:58,37.2,37.5,36.6,35
10:50:58,37.8,38.2,37,35.4
10:51:58,38.5,38.8,37.3,35.7
10:52:59,39.1,39.5,37.7,36.1
10:53:59,39.8,40.1,38,36.4
10:54:59,40.4,40.8,38.3,36.7
10:56:00,41,41.4,38.6,37
10:57:00,41.6,42,38.9,37.4
10:58:01,42.2,42.6,39.2,37.7
10:59:01,42.7,43.1,39.5,38
11:00:01,43.3,43.7,39.9,38.4
11:01:02,43.8,44.2,40.2,38.8
11:02:02,44.3,44.7,40.6,39.1
11:03:02,44.9,45.2,41,39.5
11:04:03,45.3,45.7,41.4,39.9
11:05:03,45.8,46.2,41.8,40.3
11:06:03,46.3,46.7,42.3,40.8
11:07:04,46.8,47.1,42.8,41.4
11:08:04,47.2,47.6,43.3,41.9
11:09:04,47.6,48,43.9,42.5
11:10:05,48,48.4,44.5,43.1
11:11:05,48.4,48.8,45.1,43.8
11:12:06,48.8,49.2,45.8,44.5
11:13:06,49.2,49.6,46.5,45.2
11:14:06,49.6,50,47.1,46
11:15:07,50,50.3,47.8,46.6
11:16:07,50.3,50.7,48.5,47.4
11:17:07,50.7,51,49.2,48
11:18:08,51,51.4,49.9,48.7
11:19:08,51.3,51.7,50.5,49.4
11:20:08,51.6,52,51.1,50
11:21:09,51.9,52.3,51.7,50.7
11:22:09,52.2,52.5,52.2,51.3
11:23:09,52.4,52.8,52.8,51.8
11:24:10,52.7,53,53.3,52.3
11:25:10,52.9,53.2,53.8,52.9
11:26:10,53.1,53.5,54.3,53.3
11:27:11,53.3,53.6,54.7,53.9
11:28:11,53.5,53.9,55.2,54.4
11:29:11,53.7,54,55.6,54.8
11:30:12,53.9,54.2,56,55.2
11:31:12,54,54.3,56.4,55.7
11:32:13,54.1,54.4,56.7,56
11:33:13,54.2,54.6,57.1,56.4
11:34:13,54.4,54.7,57.5,56.9
11:35:14,54.5,54.8,57.9,57.3
