time,drivingEndBearingTemp-I,drivingEndBearingTemp-II,nonDrivingEndBearingTemp-I,nonDrivingEndBearingTemp-II
10:49:06,34.5,34.5,34.2,34
10:50:06,34.6,34.6,34.3,34.1
10:51:07,34.7,34.7,34.4,34.2
10:52:08,34.8,34.8,34.5,34.4
10:53:08,34.9,34.9,34.6,34.5
10:54:08,35,35,34.8,34.7
10:55:09,35.2,35.2,34.9,34.8
10:56:09,35.3,35.3,35.1,34.9
10:57:10,35.4,35.4,35.2,35
10:58:10,35.5,35.5,35.3,35.1
10:59:11,35.7,35.6,35.4,35.2
11:00:11,35.8,35.7,35.5,35.3
11:01:12,35.8,35.8,35.5,35.4
11:02:12,35.9,35.9,35.6,35.5
11:03:13,36,36,35.7,35.6
11:04:13,36.1,36.1,35.8,35.6
11:05:14,36.1,36.1,35.8,35.7
11:06:14,36.2,36.2,35.9,35.7
11:07:14,36.2,36.2,35.9,35.8
11:08:15,36.3,36.2,36,35.8
11:09:16,36.3,36.3,36,35.9
11:10:17,36.3,36.3,36,35.9
11:11:18,36.4,36.3,36.1,35.9
11:12:20,36.4,36.3,36.1,36
11:13:21,36.4,36.4,36.2,36
11:14:22,36.4,36.4,36.2,36
11:15:23,36.4,36.4,36.2,36.1
11:16:24,36.4,36.4,36.2,36.1
11:17:26,36.5,36.4,36.3,36.1
11:18:27,36.5,36.5,36.3,36.2
11:19:29,36.5,36.5,36.3,36.2
11:20:31,36.5,36.5,36.4,36.2
11:21:32,36.5,36.5,36.4,36.2
11:22:33,36.6,36.5,36.4,36.3
11:23:35,36.6,36.6,36.4,36.3
11:24:37,36.6,36.6,36.4,36.3
11:25:39,36.6,36.6,36.5,36.3
11:26:41,36.6,36.6,36.5,36.3
11:27:42,36.6,36.6,36.5,36.4
11:28:44,36.6,36.6,36.5,36.4
11:29:46,36.6,36.6,36.5,36.4
11:30:47,36.6,36.6,36.5,36.4
11:31:50,36.6,36.6,36.6,36.4
11:32:51,36.7,36.6,36.6,36.4
11:33:54,36.7,36.7,36.6,36.5
11:34:55,36.7,36.6,36.6,36.5
11:35:57,36.7,36.7,36.6,36.5
11:37:00,36.7,36.7,36.6,36.5
11:38:02,36.7,36.7,36.7,36.5
11:39:04,36.7,36.7,36.7,36.5
11:40:06,36.8,36.7,36.7,36.5
11:41:08,36.8,36.7,36.7,36.5
11:42:10,36.8,36.7,36.7,36.6
11:43:12,36.8,36.8,36.7,36.6
11:44:15,36.8,36.8,36.7,36.6
11:45:17,36.8,36.8,36.7,36.6
11:46:19,36.8,36.8,36.7,36.6
11:47:22,36.8,36.8,36.8,36.6
11:48:24,36.8,36.8,36.8,36.6
11:49:27,36.8,36.8,36.8,36.6
11:50:29,36.8,36.8,36.8,36.7
11:51:31,36.9,36.8,36.8,36.7
11:52:34,36.9,36.8,36.8,36.7
11:53:36,36.9,36.8,36.8,36.7
11:54:40,36.9,36.8,36.8,36.7
11:55:42,36.9,36.8,36.8,36.7
11:56:44,36.9,36.9,36.8,36.7
11:57:47,36.9,36.9,36.8,36.7
11:58:50,36.9,36.9,36.8,36.7
11:59:52,36.9,36.9,36.9,36.7
12:00:55,36.9,36.9,36.9,36.7
12:01:58,36.9,36.9,36.9,36.7
12:03:01,36.9,36.9,36.9,36.8
12:04:04,37,36.9,36.9,36.8
12:05:06,37,36.9,36.9,36.8
12:06:09,37,36.9,36.9,36.8
12:07:12,37,37,36.9,36.8
12:08:13,37,37,36.9,36.8
12:09:13,37,37,36.9,36.8
12:10:14,37,37,36.9,36.8
12:11:14,37,37,37,36.8
12:12:15,37,37,37,36.9
12:13:16,37.1,37.1,37.1,37
12:14:17,37.1,37.1,37.2,37.1
12:15:17,37.15,37.15,37.3,37.2
12:16:18,37.2,37.2,37.4,37.3
12:17:18,37.3,37.3,37.5,37.4
12:18:19,37.4,37.4,37.7,37.5
12:19:19,37.5,37.5,37.8,37.7
12:20:19,37.6,37.6,38,37.9
12:21:20,37.7,37.6,38.2,38
12:22:21,37.8,37.7,38.3,38.2
12:23:21,37.9,37.8,38.5,38.4
12:24:22,38,37.9,38.7,38.6
12:25:22,38.1,38,38.9,38.8
12:26:23,38.2,38.1,39.1,39
12:27:23,38.3,38.2,39.3,39.2
12:28:24,38.4,38.3,39.5,39.4
12:29:24,38.5,38.5,39.8,39.6
12:30:25,38.6,38.6,40,39.9
12:31:25,38.7,38.7,40.2,40.1
12:32:26,38.9,38.8,40.4,40.3
12:33:27,39,39,40.6,40.5
12:34:28,39.1,39.1,40.8,40.6
12:35:29,39.3,39.2,40.9,40.7
12:36:29,39.4,39.3,41,40.9
12:37:30,39.5,39.4,41.1,41
12:38:31,39.6,39.5,41.2,41.1
12:39:32,39.7,39.6,41.3,41.2
12:40:33,39.7,39.7,41.4,41.3
12:41:33,39.8,39.7,41.5,41.3
12:42:35,39.8,39.8,41.6,41.4
12:43:36,39.9,39.8,41.6,41.5
12:44:37,39.9,39.9,41.7,41.5
12:45:39,39.9,39.9,41.7,41.6
12:46:40,40,39.9,41.8,41.6
12:47:42,40,39.9,41.8,41.6
12:48:42,40,39.9,41.8,41.7
12:49:43,40,39.9,41.9,41.7
12:50:43,40,40,41.9,41.8
12:51:43,40,40,42,41.8
12:52:44,40,40,42.1,42
12:53:45,40.1,40,42.2,42.1
12:54:46,40.1,40.1,42.3,42.2
12:55:46,40.1,40.1,42.5,42.3
12:56:47,40.2,40.2,42.6,42.5
